t,x,y,z,x avg,y avg,z avg,x max,x min,y max,y min,z max,z min
88,-3.2055,1.1650,-0.3584,-1.0037,0.7877,-0.0991,1.7751,-3.2055,2.1402,-0.8376,1.4960,-2.2332
89,-2.9078,1.0259,-0.5979,-0.9899,0.8289,-0.0921,1.7751,-3.2055,2.1402,-0.8376,1.4960,-2.2332
90,-2.2786,1.5772,-0.1856,-0.9478,0.8739,-0.0719,1.7751,-3.2055,2.1402,-0.8376,1.4960,-2.2332
91,-1.8548,1.9285,0.1351,-0.9051,0.9235,-0.0581,1.7751,-3.2055,2.1402,-0.8376,1.4960,-2.2332
92,-1.5319,1.9865,0.2294,-0.9390,0.9466,-0.0649,1.7751,-3.2055,2.1402,-0.8376,1.4960,-2.2332
93,-1.0911,1.3415,0.3370,-0.9671,0.9860,-0.0699,1.7751,-3.2055,2.1402,-0.8376,1.4960,-2.2332
94,-0.5630,1.0249,0.5329,-1.0000,0.9973,-0.0825,1.7751,-3.2055,2.1402,-0.8376,1.4960,-2.2332
95,0.1702,1.2007,0.6831,-1.0315,0.9972,-0.1006,1.7751,-3.2055,2.1402,-0.8376,1.4960,-2.2332
96,1.0969,0.7420,0.7372,-1.0654,0.9273,-0.1386,1.7566,-3.2055,2.0974,-0.8376,1.4757,-2.2332
97,1.6272,-0.7220,0.4983,-1.0719,0.7863,-0.1874,1.6272,-3.2055,1.9865,-0.8376,1.2671,-2.2332
98,1.7035,-0.9418,0.3662,-1.0579,0.6682,-0.2325,1.7035,-3.2055,1.9865,-0.9418,0.7372,-2.2332
99,1.7000,-0.9907,0.3617,-0.9489,0.5991,-0.2113,1.7035,-3.2055,1.9865,-0.9907,0.7372,-2.2332
100,0.9978,-0.8130,0.1081,-0.8071,0.5691,-0.1273,1.7035,-3.2055,1.9865,-0.9907,0.7372,-2.2332
101,-2.2197,1.6552,-1.4593,-0.8398,0.6746,-0.0886,1.7035,-3.2055,1.9865,-0.9907,0.7372,-1.7094
102,-1.3212,-1.4571,-2.3132,-0.8808,0.6436,-0.1188,1.7035,-3.2055,1.9865,-1.4571,0.7372,-2.3132
103,-0.1043,-1.8428,-1.0698,-0.9150,0.5147,-0.1789,1.7035,-3.2055,1.9865,-1.8428,0.7372,-2.3132
104,0.8721,0.6107,0.5202,-0.8045,0.5051,-0.1404,1.7035,-3.2055,1.9865,-1.8428,0.7372,-2.3132
105,0.5061,1.0518,0.5936,-0.6916,0.5139,-0.0956,1.7035,-3.2055,1.9865,-1.8428,0.7372,-2.3132
106,-2.9792,1.4677,-1.0750,-0.7254,0.5401,-0.1237,1.7035,-3.2055,1.9865,-1.8428,0.7372,-2.3132
