t,x,y,z,x avg,y avg,z avg,x max,x min,y max,y min,z max,z min
127,-1.1835,1.4490,0.4477,-0.8807,0.6706,-0.0794,1.7751,-3.9766,2.4273,-1.8428,1.4960,-2.8380
128,-0.7925,1.0067,0.4559,-0.8708,0.6867,-0.0701,1.7751,-3.9766,2.4273,-1.8428,1.4960,-2.8380
129,-0.7696,1.0983,0.4266,-0.8521,0.6976,-0.0597,1.7751,-3.9766,2.4273,-1.8428,1.4960,-2.8380
130,-0.6550,1.1283,0.1868,-0.8323,0.7011,-0.0531,1.7751,-3.9766,2.4273,-1.8428,1.4960,-2.8380
131,-0.4443,1.0056,0.0381,-0.8157,0.6956,-0.0510,1.7751,-3.9766,2.4273,-1.8428,1.4960,-2.8380
132,0.0703,0.4760,0.0935,-0.8049,0.6907,-0.0490,1.7751,-3.9766,2.4273,-1.8428,1.4960,-2.8380
133,0.4146,0.1607,0.1203,-0.7953,0.6939,-0.0454,1.7751,-3.9766,2.4273,-1.8428,1.4960,-2.8380
134,0.7429,-0.7590,-0.0405,-0.7838,0.6904,-0.0471,1.7751,-3.9766,2.4273,-1.8428,1.4960,-2.8380
135,0.7402,-1.0283,-0.1369,-0.7759,0.6836,-0.0537,1.7751,-3.9766,2.4273,-1.8428,1.4960,-2.8380
136,-0.5567,-0.5523,-0.7967,-0.7829,0.6772,-0.0697,1.7751,-3.9766,2.4273,-1.8428,1.4960,-2.8380
137,-1.2262,-0.1802,-1.0125,-0.8000,0.6663,-0.0908,1.7751,-3.9766,2.4273,-1.8428,1.4960,-2.8380
138,-1.3598,-0.0628,-1.0586,-0.8247,0.6469,-0.1128,1.7751,-3.9766,2.4273,-1.8428,1.4960,-2.8380
139,-1.7530,-1.4556,-1.5644,-0.8569,0.6261,-0.1345,1.7751,-3.9766,2.4273,-1.8428,1.4960,-2.8380
140,-1.2191,-2.1325,-1.0753,-0.8805,0.5937,-0.1472,1.7751,-3.9766,2.4273,-2.1325,1.4960,-2.8380
141,-0.4029,0.1918,0.4802,-0.8741,0.5879,-0.1248,1.7751,-3.9766,2.4273,-2.1325,1.4960,-2.8380
142,-1.3247,1.7879,1.1820,-0.8796,0.6144,-0.0944,1.7751,-3.9766,2.4273,-2.1325,1.4960,-2.8380
143,-2.3551,1.3035,0.4527,-0.9089,0.6330,-0.0857,1.7751,-3.9766,2.4273,-2.1325,1.4960,-2.8380
144,-4.0002,0.9904,-0.4460,-0.9616,0.6332,-0.0993,1.7751,-4.0002,2.4273,-2.1325,1.4960,-2.8380
145,-4.0002,1.6842,-0.6491,-1.0089,0.6441,-0.1130,1.7751,-4.0002,2.4273,-2.1325,1.4960,-2.8380
146,-4.0002,1.9874,-0.6032,-1.0481,0.6638,-0.1216,1.7751,-4.0002,2.4273,-2.1325,1.4960,-2.8380
147,-2.1651,1.5473,0.5023,-1.0528,0.6791,-0.1152,1.7751,-4.0002,2.4273,-2.1325,1.4960,-2.8380
148,-2.0914,1.5309,0.3219,-1.0455,0.6899,-0.1104,1.7751,-4.0002,2.4273,-2.1325,1.4960,-2.8380
149,-1.2240,0.8915,0.0744,-1.0271,0.6882,-0.1091,1.7751,-4.0002,2.4273,-2.1325,1.4960,-2.8380
150,0.0790,0.1914,0.4415,-0.9979,0.6753,-0.1041,1.7751,-4.0002,2.4273,-2.1325,1.4960,-2.8380
151,0.9828,-0.6523,0.3991,-0.9621,0.6536,-0.1000,1.7751,-4.0002,2.4273,-2.1325,1.4960,-2.8380
152,1.5644,-1.3861,0.1639,-0.9260,0.6256,-0.0970,1.7751,-4.0002,2.4273,-2.1325,1.4960,-2.8380
153,0.1391,-0.9353,-0.4062,-0.9145,0.6111,-0.1000,1.7751,-4.0002,2.4273,-2.1325,1.4960,-2.8380
154,-0.9344,-3.2439,-1.5115,-0.9183,0.5825,-0.1146,1.7751,-4.0002,2.4273,-3.2439,1.4960,-2.8380
155,-1.1720,-1.4022,-0.2132,-0.9292,0.5704,-0.1217,1.7751,-4.0002,2.4273,-3.2439,1.4960,-2.8380
156,-1.8409,0.7773,0.6571,-0.9511,0.5736,-0.1242,1.7751,-4.0002,2.4273,-3.2439,1.4960,-2.8380
157,-2.7174,1.2864,0.3442,-0.9874,0.5726,-0.1337,1.7751,-4.0002,2.4273,-3.2439,1.4960,-2.8380
158,-3.1465,1.3844,0.0103,-1.0285,0.5717,-0.1466,1.7751,-4.0002,2.4273,-3.2439,1.4960,-2.8380
159,-3.9672,1.2399,-1.0641,-1.0784,0.5686,-0.1705,1.7751,-4.0002,2.4273,-3.2439,1.4960,-2.8380
160,-3.9672,1.2308,-1.3717,-1.1309,0.5620,-0.1977,1.7751,-4.0002,2.4273,-3.2439,1.4960,-2.8380
161,-4.0002,0.7971,-0.7628,-1.1877,0.5630,-0.2139,1.7751,-4.0002,2.4273,-3.2439,1.4960,-2.8380
162,-4.0002,0.3935,-1.0283,-1.2309,0.5584,-0.2252,1.7751,-4.0002,2.4273,-3.2439,1.4960,-2.8380
163,-3.6136,1.7377,0.0294,-1.2446,0.5624,-0.2045,1.7751,-4.0002,2.4273,-3.2439,1.4960,-2.8380
164,-3.0081,1.7984,0.2126,-1.2572,0.5859,-0.1740,1.7751,-4.0002,2.4273,-3.2439,1.4960,-2.3132
165,-1.9820,0.9797,0.3314,-1.2751,0.6048,-0.1560,1.7751,-4.0002,2.4273,-3.2439,1.4960,-2.3132
166,-1.4077,0.9738,0.3825,-1.2908,0.6093,-0.1558,1.7751,-4.0002,2.4273,-3.2439,1.4960,-2.3132
167,-0.8707,0.6271,0.1584,-1.2812,0.6152,-0.1507,1.7751,-4.0002,2.4273,-3.2439,1.4960,-2.3132
168,0.2812,0.5641,0.1551,-1.2512,0.6207,-0.1417,1.7751,-4.0002,2.4273,-3.2439,1.4960,-2.3132
169,1.5628,-0.6334,0.4580,-1.2038,0.6124,-0.1298,1.7751,-4.0002,2.4273,-3.2439,1.4960,-2.3132
170,-1.5138,-1.1721,-1.2903,-1.1877,0.5939,-0.1368,1.7751,-4.0002,2.4273,-3.2439,1.4960,-2.3132
171,-0.7943,-2.4880,-2.0455,-1.1686,0.5596,-0.1558,1.7751,-4.0002,2.4273,-3.2439,1.4960,-2.3132
172,-0.1960,0.0688,0.1207,-1.1620,0.5451,-0.1583,1.7751,-4.0002,2.4273,-3.2439,1.4960,-2.3132
173,-1.5656,0.5117,-0.4111,-1.1723,0.5447,-0.1668,1.7751,-4.0002,2.4273,-3.2439,1.4960,-2.3132
174,-2.2972,0.3991,-0.7273,-1.1963,0.5407,-0.1819,1.7751,-4.0002,2.4273,-3.2439,1.4960,-2.3132
175,-3.2146,1.0829,-0.8632,-1.2364,0.5395,-0.2010,1.7751,-4.0002,2.4273,-3.2439,1.4960,-2.3132
176,-3.3589,1.1627,-0.9073,-1.2878,0.5297,-0.2250,1.7566,-4.0002,2.4273,-3.2439,1.4757,-2.3132
177,-2.2243,1.8935,-0.3603,-1.3276,0.5277,-0.2434,1.7035,-4.0002,2.4273,-3.2439,1.2671,-2.3132
178,-2.1662,1.8661,-0.1892,-1.3635,0.5321,-0.2579,1.7035,-4.0002,2.4273,-3.2439,1.1820,-2.3132
179,-2.0419,1.8990,-0.0418,-1.3791,0.5472,-0.2577,1.7035,-4.0002,2.4273,-3.2439,1.1820,-2.3132
180,-1.0553,2.3088,0.5965,-1.3713,0.5724,-0.2360,1.7035,-4.0002,2.4273,-3.2439,1.1820,-2.3132
181,-0.6533,1.5989,0.3462,-1.3621,0.5930,-0.2102,1.7035,-4.0002,2.4273,-3.2439,1.1820,-2.3132
182,-0.1481,2.2628,0.1558,-1.3586,0.6240,-0.1916,1.7035,-4.0002,2.4273,-3.2439,1.1820,-2.3132
183,0.0185,1.9455,0.1066,-1.3642,0.6361,-0.1918,1.7035,-4.0002,2.4273,-3.2439,1.1820,-2.3132
184,0.3713,1.2992,0.2943,-1.3471,0.6410,-0.1864,1.7035,-4.0002,2.4273,-3.2439,1.1820,-2.3132
185,0.6172,0.1495,0.1281,-1.3234,0.6338,-0.1821,1.7035,-4.0002,2.4273,-3.2439,1.1820,-2.3132
186,0.1655,-0.7075,0.0755,-1.2987,0.6172,-0.1762,1.7035,-4.0002,2.4273,-3.2439,1.1820,-2.3132
187,-0.1781,-1.0353,-1.1869,-1.2693,0.5990,-0.1829,1.7035,-4.0002,2.4273,-3.2439,1.1820,-2.3132
188,-0.2404,-1.2179,-0.2828,-1.2396,0.5751,-0.1822,1.7035,-4.0002,2.4273,-3.2439,1.1820,-2.3132
189,-1.9544,0.0479,-0.1026,-1.2301,0.5654,-0.1772,1.7035,-4.0002,2.4273,-3.2439,1.1820,-2.3132
190,-2.2236,0.1690,-0.2688,-1.2295,0.5513,-0.1780,1.7035,-4.0002,2.4273,-3.2439,1.1820,-2.3132
191,-2.9009,0.8380,-0.3055,-1.2400,0.5404,-0.1824,1.7035,-4.0002,2.4273,-3.2439,1.1820,-2.3132
192,-3.1411,1.1428,-0.3892,-1.2561,0.5319,-0.1886,1.7035,-4.0002,2.4273,-3.2439,1.1820,-2.3132
193,-3.4716,1.8038,-0.5465,-1.2799,0.5366,-0.1975,1.7035,-4.0002,2.4273,-3.2439,1.1820,-2.3132
194,-1.9286,2.4471,0.3521,-1.2936,0.5508,-0.1993,1.7035,-4.0002,2.4471,-3.2439,1.1820,-2.3132
195,-1.4981,1.1552,0.3348,-1.3102,0.5503,-0.2028,1.7035,-4.0002,2.4471,-3.2439,1.1820,-2.3132
196,-1.3904,1.1222,0.3123,-1.3351,0.5541,-0.2070,1.7035,-4.0002,2.4471,-3.2439,1.1820,-2.3132
197,-1.0503,1.3306,0.2558,-1.3619,0.5747,-0.2094,1.7035,-4.0002,2.4471,-3.2439,1.1820,-2.3132
198,-0.4483,1.3578,0.2010,-1.3834,0.5977,-0.2111,1.7000,-4.0002,2.4471,-3.2439,1.1820,-2.3132
199,0.7867,0.4235,0.3411,-1.3925,0.6118,-0.2113,1.5644,-4.0002,2.4471,-3.2439,1.1820,-2.3132
200,0.5797,-0.1182,0.0502,-1.3967,0.6187,-0.2119,1.5644,-4.0002,2.4471,-3.2439,1.1820,-2.3132
