x,y,z,x avg,y avg,z avg,x max,x min,y max,y min,z max,z min
-0.8600,-1.3854,-0.6825,-0.0086,-0.0139,-0.0139,0.0000,-0.8600,0.0000,-1.3854,0.0000,-0.6825
-0.7910,-2.3851,-1.1491,-0.0079,-0.0239,-0.0239,0.0000,0.0000,0.0000,-2.3851,0.0000,-1.1491
-0.9789,-0.1676,0.4232,-0.0098,-0.0017,-0.0017,0.4232,-0.9789,0.4232,0.0000,0.4232,0.0000
-1.9523,-0.2624,0.4215,-0.0195,-0.0026,-0.0026,0.4215,-1.9523,0.4215,-0.2624,0.4215,0.0000
-3.2005,-1.4809,-0.2214,-0.0320,-0.0148,-0.0148,0.0000,-3.2005,0.0000,-1.4809,0.0000,-0.2214
-4.0002,-1.4578,-1.0735,-0.0400,-0.0146,-0.0146,0.0000,-4.0002,0.0000,0.0000,0.0000,-1.0735
-4.0002,0.9954,-0.5121,-0.0400,0.0100,0.0100,0.0000,0.0000,0.9954,0.0000,0.9954,0.0000
-3.7015,2.9442,0.3131,-0.0370,0.0294,0.0294,0.3131,-3.7015,2.9442,0.0000,2.9442,0.0000
-3.0604,2.8780,0.3620,-0.0306,0.0288,0.0288,0.3620,0.0000,2.8780,0.0000,2.8780,0.0000
-2.7733,2.6927,0.4126,-0.0277,0.0269,0.0269,0.4126,-2.7733,2.6927,0.0000,2.6927,0.0000
-2.5057,1.9116,0.5577,-0.0251,0.0191,0.0191,0.5577,0.0000,1.9116,0.0000,1.9116,0.0000
-2.4748,0.4758,0.2775,-0.0247,0.0048,0.0048,0.2775,-2.4748,0.4758,0.0000,0.4758,0.0000
-1.8200,-0.0447,-0.1639,-0.0182,-0.0004,-0.0004,0.0000,0.0000,0.0000,-0.0447,0.0000,-0.1639
-0.9142,-0.6824,-0.1701,-0.0091,-0.0068,-0.0068,0.0000,-0.9142,0.0000,-0.6824,0.0000,-0.1701
0.0150,-0.9486,-0.0508,0.0001,-0.0095,-0.0095,0.0150,0.0000,0.0150,-0.9486,0.0150,0.0000
0.7004,-1.2428,0.0842,0.0070,-0.0124,-0.0124,0.7004,0.0000,0.7004,-1.2428,0.7004,0.0000
1.5177,-2.5160,-0.2982,0.0152,-0.0252,-0.0252,1.5177,0.0000,1.5177,-2.5160,1.5177,-0.2982
1.5557,-2.4052,-0.3599,0.0156,-0.0241,-0.0241,1.5557,0.0000,1.5557,0.0000,1.5557,-0.3599
0.7906,-0.1595,-0.2478,0.0079,-0.0016,-0.0016,0.7906,0.0000,0.7906,-0.1595,0.7906,0.0000
0.4956,-2.3774,-1.3693,0.0050,-0.0238,-0.0238,0.4956,0.0000,0.4956,-2.3774,0.4956,-1.3693
0.4565,-2.5409,-1.3297,0.0046,-0.0254,-0.0254,0.4565,0.0000,0.4565,-2.5409,0.4565,0.0000
-0.2008,-0.5092,0.2824,-0.0020,-0.0051,-0.0051,0.2824,-0.2008,0.2824,0.0000,0.2824,0.0000
-1.4455,-0.7346,0.5135,-0.0145,-0.0073,-0.0073,0.5135,-1.4455,0.5135,-0.7346,0.5135,0.0000
-2.0384,-0.8870,0.4021,-0.0204,-0.0089,-0.0089,0.4021,-2.0384,0.4021,-0.8870,0.4021,0.0000
-2.3917,-0.9163,0.2839,-0.0239,-0.0092,-0.0092,0.2839,-2.3917,0.2839,-0.9163,0.2839,0.0000
-4.0002,-1.4571,-0.6267,-0.0400,-0.0146,-0.0146,0.0000,-4.0002,0.0000,-1.4571,0.0000,-0.6267
-4.0002,-0.5009,-0.7779,-0.0400,-0.0050,-0.0050,0.0000,0.0000,0.0000,0.0000,0.0000,-0.7779
-2.2419,1.5692,0.3518,-0.0224,0.0157,0.0157,0.3518,-2.2419,1.5692,0.0000,1.5692,0.0000
-1.9250,0.9760,0.4196,-0.0192,0.0098,0.0098,0.4196,0.0000,0.9760,0.0000,0.9760,0.0000
-1.4463,0.6510,-0.0704,-0.0145,0.0065,0.0065,0.0000,-1.4463,0.6510,0.0000,0.6510,-0.0704
-0.8257,0.2962,0.0567,-0.0083,0.0030,0.0030,0.0567,0.0000,0.2962,0.0000,0.2962,0.0000
-0.0615,-0.2237,0.0723,-0.0006,-0.0022,-0.0022,0.0723,-0.0615,0.0723,-0.2237,0.0723,0.0000
0.3715,0.2017,0.0681,0.0037,0.0020,0.0020,0.3715,0.0000,0.3715,0.0000,0.3715,0.0000
0.2028,-2.4034,-1.2683,0.0020,-0.0240,-0.0240,0.2028,0.0000,0.2028,-2.4034,0.2028,-1.2683
0.4942,-2.9055,-1.3707,0.0049,-0.0291,-0.0291,0.4942,0.0000,0.4942,-2.9055,0.4942,-1.3707
0.0515,-0.8802,-0.0560,0.0005,-0.0088,-0.0088,0.0515,0.0000,0.0515,0.0000,0.0515,0.0000
-1.6841,-0.9425,0.1644,-0.0168,-0.0094,-0.0094,0.1644,-1.6841,0.1644,-0.9425,0.1644,0.0000
-3.4347,-1.0331,-0.5978,-0.0343,-0.0103,-0.0103,0.0000,-3.4347,0.0000,-1.0331,0.0000,-0.5978
-4.0002,-0.6596,-0.8408,-0.0400,-0.0066,-0.0066,0.0000,-4.0002,0.0000,0.0000,0.0000,-0.8408
-4.0002,-0.5908,-0.9982,-0.0400,-0.0059,-0.0059,0.0000,0.0000,0.0000,-0.5908,0.0000,-0.9982
-4.0002,0.4344,-0.6207,-0.0400,0.0043,0.0043,0.0000,-4.0002,0.4344,0.0000,0.4344,0.0000
-4.0002,2.2280,-0.0037,-0.0400,0.0223,0.0223,0.0000,0.0000,2.2280,0.0000,2.2280,-0.0037
-2.8196,2.8743,0.4281,-0.0282,0.0287,0.0287,0.4281,-2.8196,2.8743,0.0000,2.8743,0.0000
